Admin2;Province_State;Country_Region;Last_Update;Lat;Long_;Confirmed;Deaths;Recovered;Active;Combined_Key;Incidence_Rate;Case-Fatality_Ratio;ID
Abbeville;South Carolina;US;26/07/2020 04:35;34.22333378;-82.46170658;264;4;0;260;Abbeville, South Carolina, US;1076.364822;1.515151515;
Acadia;Louisiana;US;26/07/2020 04:35;30.2950649;-92.41419698;2111;62;0;2049;Acadia, Louisiana, US;3402.369248;2.936996684;
Accomack;Virginia;US;26/07/2020 04:35;37.76707161;-75.63234615;1060;15;0;1045;Accomack, Virginia, US;3280.108924;1.41509434;
Ada;Idaho;US;26/07/2020 04:35;43.4526575;-116.2415516;6732;45;0;6687;Ada, Idaho, US;1397.878265;0.668449198;
Adair;Iowa;US;26/07/2020 04:35;41.33075609;-94.47105874;20;0;0;20;Adair, Iowa, US;279.6420582;0;
Adair;Kentucky;US;26/07/2020 04:35;37.10459774;-85.28129668;182;19;0;163;Adair, Kentucky, US;947.8179356;10.43956044;
Adair;Missouri;US;26/07/2020 04:35;40.19058551;-92.60078167;118;0;0;118;Adair, Missouri, US;465.611806;0;
Adair;Oklahoma;US;26/07/2020 04:35;35.88494195;-94.65859267;227;5;0;222;Adair, Oklahoma, US;1022.798955;2.202643172;
Adams;Colorado;US;26/07/2020 04:35;39.87432092;-104.3362578;5535;167;0;5368;Adams, Colorado, US;1069.728519;3.017163505;
Adams;Idaho;US;26/07/2020 04:35;44.89333571;-116.4545247;15;0;0;15;Adams, Idaho, US;349.324639;0;
Adams;Illinois;US;26/07/2020 04:35;39.98815591;-91.18786813;324;1;0;323;Adams, Illinois, US;495.1478567;0.308641975;
Adams;Indiana;US;26/07/2020 04:35;40.7457653;-84.93671406;69;1;0;68;Adams, Indiana, US;192.8613355;1.449275362;
Adams;Iowa;US;26/07/2020 04:35;41.02903567;-94.69932645;12;0;0;12;Adams, Iowa, US;333.148251;0;
Adams;Mississippi;US;26/07/2020 04:35;31.47669768;-91.35326037;490;22;0;468;Adams, Mississippi, US;1596.455218;4.489795918;
Adams;Nebraska;US;26/07/2020 04:35;40.5244942;-98.50117804;324;11;0;313;Adams, Nebraska, US;1033.064439;3.395061728;
Adams;North Dakota;US;26/07/2020 04:35;46.09686891;-102.5285397;0;0;0;0;Adams, North Dakota, US;0;;
Adams;Ohio;US;26/07/2020 04:35;38.84541072;-83.4718964;40;2;0;38;Adams, Ohio, US;144.4147592;5;
Adams;Pennsylvania;US;26/07/2020 04:35;39.87140411;-77.21610347;442;17;0;425;Adams, Pennsylvania, US;429.0887204;3.846153846;
Adams;Washington;US;26/07/2020 04:35;46.98299757;-118.5601734;342;1;0;341;Adams, Washington, US;1711.454737;0.292397661;
Adams;Wisconsin;US;26/07/2020 04:35;43.96974651;-89.76782777;60;2;0;58;Adams, Wisconsin, US;296.735905;3.333333333;
Addison;Vermont;US;26/07/2020 04:35;44.03217337;-73.14130877;71;2;0;69;Addison, Vermont, US;193.0554423;2.816901408;
Adjuntas;Puerto Rico;US;26/07/2020 04:35;18.180117;-66.754367;74;0;0;74;Adjuntas, Puerto Rico, US;379.8183031;0;
Aguada;Puerto Rico;US;26/07/2020 04:35;18.360255;-67.175131;89;0;0;89;Aguada, Puerto Rico, US;212.1118234;0;
Aguadilla;Puerto Rico;US;26/07/2020 04:35;18.459681;-67.120815;142;0;0;142;Aguadilla, Puerto Rico, US;232.9816732;0;
Aguas Buenas;Puerto Rico;US;26/07/2020 04:35;18.251619;-66.126806;91;0;0;91;Aguas Buenas, Puerto Rico, US;317.5267804;0;
Aibonito;Puerto Rico;US;26/07/2020 04:35;18.131361;-66.264131;67;0;0;67;Aibonito, Puerto Rico, US;258.6872587;0;
Aiken;South Carolina;US;26/07/2020 04:35;33.54338026;-81.63645384;1199;23;0;1176;Aiken, South Carolina, US;701.6948359;1.918265221;
Aitkin;Minnesota;US;26/07/2020 04:35;46.60962049;-93.4116826;24;0;0;24;Aitkin, Minnesota, US;151.0764195;0;
Alachua;Florida;US;26/07/2020 04:35;29.67866525;-82.35928158;3050;18;0;3032;Alachua, Florida, US;1133.647781;0.590163934;
Alamance;North Carolina;US;26/07/2020 04:35;36.0434701;-79.39976137;1920;40;0;1880;Alamance, North Carolina, US;1132.68322;2.083333333;
Alameda;California;US;26/07/2020 04:35;37.64629437;-121.8929271;10330;178;0;10152;Alameda, California, US;618.0710082;1.723136496;CA
Alamosa;Colorado;US;26/07/2020 04:35;37.57250606;-105.7885451;219;7;0;212;Alamosa, Colorado, US;1349.103678;3.196347032;
Albany;New York;US;26/07/2020 04:35;42.60060306;-73.97723916;2438;122;0;2316;Albany, New York, US;798.0203335;5.004101723;
Albany;Wyoming;US;26/07/2020 04:35;41.65498705;-105.7235415;78;0;0;78;Albany, Wyoming, US;200.617284;0;
Albemarle;Virginia;US;26/07/2020 04:35;38.02080697;-78.55481085;695;10;0;685;Albemarle, Virginia, US;635.6901125;1.438848921;
Alcona;Michigan;US;26/07/2020 04:35;44.6846864;-83.59507875;27;1;0;26;Alcona, Michigan, US;259.4906295;3.703703704;
Alcorn;Mississippi;US;26/07/2020 04:35;34.88084463;-88.57996173;267;3;0;264;Alcorn, Mississippi, US;722.539442;1.123595506;
Aleutians East;Alaska;US;26/07/2020 04:35;55.32222414;-161.9722021;1;0;0;1;Aleutians East, Alaska, US;29.96703626;0;
Aleutians West;Alaska;US;26/07/2020 04:35;52.3233;-174.1596;2;0;0;2;Aleutians West, Alaska, US;35.49875754;0;
Alexander;Illinois;US;26/07/2020 04:35;37.18049267;-89.32910838;35;0;0;35;Alexander, Illinois, US;607.5334143;0;
