Cod_IBGE;Grande regiao;Municipio;Mun_Total de casos;Mun_Total de obitos
3500105;Interior;Adamantina;144;6
3500204;Interior;Adolfo;40;3
3500303;Interior;Aguai;131;4
3500402;Interior;Águas da Prata;6;1
3500501;Interior;Águas de Lindóia;68;4
3500550;Interior;Águas de Santa Bárbara;7;0
3500600;Interior;Águas de São Pedro;18;0
3500709;Interior;Agudos;291;5
3500758;Interior;Alambari;37;0
3500808;Interior;Alfredo Marcondes;30;1
3500907;Interior;Altair;13;1
3501004;Interior;Altinópolis;108;5
3501103;Interior;Alto Alegre;15;1
3501152;Interior;Alumínio;98;4
3501202;Interior;Álvares Florence;23;1
3501301;Interior;Álvares Machado;120;2
3501400;Interior;Álvaro de Carvalho;6;3
3501509;Interior;Alvinlândia;11;0
3501608;Interior;Americana;1981;71
3501707;Interior;Américo Brasiliense;227;3
3501806;Interior;Américo de Campos;107;1
3501905;Interior;Amparo;401;13
3502002;Interior;Analândia;23;0
3502101;Interior;Andradina;149;6
3502200;Interior;Angatuba;155;2
3502309;Interior;Anhembi;5;0
3502408;Interior;Anhumas;17;0
3502507;Interior;Aparecida;121;2
3502606;Interior;Aparecida d'Oeste;16;0
3502705;Interior;Apiaí;69;3
3502754;Interior;Araçariguama;158;4
3502804;Interior;Araçatuba;3650;85
3502903;Interior;Araçoiaba da Serra;288;6
3503000;Interior;Aramina;35;1
3503109;Interior;Arandu;19;2
3503158;Interior;Arapeí;2;1
3503208;Interior;Araraquara;1862;17
3503307;Interior;Araras;1468;36
3503406;Interior;Arealva;53;0
3503505;Interior;Areias;28;0
3503604;Interior;Areiópolis;36;3
3503703;Interior;Ariranha;69;3
3503802;Interior;Artur Nogueira;274;5
3503901;RMSP (exceto capital);Arujá;1058;59
3503950;Interior;Aspásia;23;0
3504008;Interior;Assis;587;18
3504107;Interior;Atibaia;665;33
3504206;Interior;Auriflama;185;6
3504305;Interior;Avaí;27;0
3504404;Interior;Avanhandava;38;2
3504503;Interior;Avaré;262;11
3504602;Interior;Bady Bassitt;355;13
3504701;Interior;Balbinos;25;0
3504800;Interior;Bálsamo;148;4
3504909;Interior;Bananal;58;0
3505005;Interior;Barão de Antonina;10;0
3505104;Interior;Barbosa;37;0
3505203;Interior;Bariri;226;8
3505302;Interior;Barra Bonita;313;7
3505351;Interior;Barra do Chapéu;27;0
3505401;Interior;Barra do Turvo;45;2
3505500;Interior;Barretos;1969;77
3505609;Interior;Barrinha;307;12
3505708;RMSP (exceto capital);Barueri;3188;278
3505807;Interior;Bastos;31;0
3505906;Interior;Batatais;137;10
3506003;Interior;Bauru;3583;67
3506102;Interior;Bebedouro;289;18
3506201;Interior;Bento de Abreu;22;0
3506300;Interior;Bernardino de Campos;43;3
3506359;Interior;Bertioga;1148;27
3506409;Interior;Bilac;34;1
3506508;Interior;Birigui;897;34
3506607;RMSP (exceto capital);Biritiba Mirim;145;12
3506706;Interior;Boa Esperança do Sul;46;1
3506805;Interior;Bocaina;83;3
3506904;Interior;Bofete;66;3
3507001;Interior;Boituva;473;13
3507100;Interior;Bom Jesus dos Perdões;75;0
3507159;Interior;Bom Sucesso de Itararé;2;0
3507209;Interior;Borá;1;0
3507308;Interior;Boracéia;27;0
3507407;Interior;Borborema;50;1
3507456;Interior;Borebi;19;1
3507506;Interior;Botucatu;1214;25
3507605;Interior;Bragança Paulista;1051;27
3507704;Interior;Braúna;52;4
3507753;Interior;Brejo Alegre;9;0
3507803;Interior;Brodowski;216;7
3507902;Interior;Brotas;41;1
3508009;Interior;Buri;106;4
3508108;Interior;Buritama;130;6
3508207;Interior;Buritizal;28;0
3508306;Interior;Cabrália Paulista;49;0
3508405;Interior;Cabreúva;600;33
3508504;Interior;Caçapava;593;18
3508603;Interior;Cachoeira Paulista;111;7
3508702;Interior;Caconde;45;0
3508801;Interior;Cafelândia;159;2
3508900;Interior;Caiabu;22;2
3509007;RMSP (exceto capital);Caieiras;1127;71
3509106;Interior;Caiuá;24;0
3509205;RMSP (exceto capital);Cajamar;975;59
3509254;Interior;Cajati;724;7
3509304;Interior;Cajobi;57;3
3509403;Interior;Cajuru;185;3
3509452;Interior;Campina do Monte Alegre;68;0
3509502;Interior;Campinas;17301;701
3509601;Interior;Campo Limpo Paulista;598;48
3509700;Interior;Campos do Jordão;307;3
3509809;Interior;Campos Novos Paulista;19;0
3509908;Interior;Cananéia;88;3
3509957;Interior;Canas;12;1
3510005;Interior;Cândido Mota;117;2
3510104;Interior;Cândido Rodrigues;20;0
3510153;Interior;Canitar;14;0
3510203;Interior;Capão Bonito;326;16
3510302;Interior;Capela do Alto;171;1
3510401;Interior;Capivari;382;2
3510500;Interior;Caraguatatuba;848;52
3510609;RMSP (exceto capital);Carapicuíba;3918;226
3510708;Interior;Cardoso;69;3
3510807;Interior;Casa Branca;92;2
3510906;Interior;Cássia dos Coqueiros;37;0
3511003;Interior;Castilho;80;1
3511102;Interior;Catanduva;1132;44
3511201;Interior;Catiguá;81;3
3511300;Interior;Cedral;75;2
3511409;Interior;Cerqueira César;64;1
3511508;Interior;Cerquilho;154;9
3511607;Interior;Cesário Lange;53;3
3511706;Interior;Charqueada;190;5
