id,Município,Mun_Total de casos,Mun_Total de óbitos,Scorevid
3500105,Adamantina,120,6,20
3500204,Adolfo,38,3,12.66666667
3500303,Aguaí,122,4,30.5
3500402,Águas da Prata,2,1,2
3500501,Águas de Lindóia,61,4,15.25
3500550,Águas de Santa Bárbara,7,0,0
3500600,Águas de São Pedro,18,0,0
3500709,Agudos,247,4,61.75
3500758,Alambari,35,0,0
3500808,Alfredo Marcondes,24,1,24
3500907,Altair,7,1,7
3501004,Altinópolis,103,4,25.75
3501103,Alto Alegre,14,1,14
3501152,Alumínio,87,4,21.75
3501202,Álvares Florence,22,0,0
3501301,Álvares Machado,109,2,54.5
3501400,Álvaro de Carvalho,6,3,2
3501509,Alvinlândia,9,0,0
3501608,Americana,1712,64,26.75
3501707,Américo Brasiliense,211,2,105.5
3501806,Américo de Campos,95,1,95
3501905,Amparo,333,12,27.75
3502002,Analândia,19,0,0
3502101,Andradina,128,6,21.33333333
3502200,Angatuba,121,2,60.5
3502309,Anhembi,4,0,0
3502408,Anhumas,16,0,0
3502507,Aparecida,91,1,91
3502606,Aparecida d'Oeste,13,0,0
3502705,Apiaí,63,3,21
3502754,Araçariguama,134,4,33.5
3502804,Araçatuba,3227,74,43.60810811
3502903,Araçoiaba da Serra,231,6,38.5
3503000,Aramina,34,1,34
3503109,Arandu,15,2,7.5
3503158,Arapeí,2,1,2
3503208,Araraquara,1623,16,101.4375
3503307,Araras,1203,33,36.45454545
3503406,Arealva,46,0,0
3503505,Areias,26,0,0
3503604,Areiópolis,35,3,11.66666667
3503703,Ariranha,67,2,33.5
3503802,Artur Nogueira,223,3,74.33333333
3503901,Arujá,960,56,17.14285714
3503950,Aspásia,23,0,0
3504008,Assis,546,17,32.11764706
3504107,Atibaia,585,26,22.5
3504206,Auriflama,151,6,25.16666667
3504305,Avaí,26,0,0
3504404,Avanhandava,24,2,12
3504503,Avaré,220,11,20
3504602,Bady Bassitt,294,11,26.72727273
3504701,Balbinos,22,0,0
3504800,Bálsamo,124,2,62
3504909,Bananal,44,0,0
3505005,Barão de Antonina,10,0,0
3505104,Barbosa,27,0,0
3505203,Bariri,197,7,28.14285714
3505302,Barra Bonita,286,6,47.66666667
3505351,Barra do Chapéu,26,0,0
3505401,Barra do Turvo,41,2,20.5
3505500,Barretos,1839,69,26.65217391
3505609,Barrinha,290,11,26.36363636
3505708,Barueri,3024,265,11.41132075
3505807,Bastos,27,0,0
3505906,Batatais,120,9,13.33333333
3506003,Bauru,3194,60,53.23333333
3506102,Bebedouro,238,17,14
3506201,Bento de Abreu,20,0,0
3506300,Bernardino de Campos,40,1,40
3506359,Bertioga,1023,26,39.34615385
3506409,Bilac,30,1,30
3506508,Birigui,778,28,27.78571429
3506607,Biritiba Mirim,119,10,11.9
3506706,Boa Esperança do Sul,42,1,42
3506805,Bocaina,81,3,27
3506904,Bofete,64,3,21.33333333
3507001,Boituva,438,13,33.69230769
3507100,Bom Jesus dos Perdões,70,0,0
3507159,Bom Sucesso de Itararé,2,0,0
3507209,Borá,1,0,0
3507308,Boracéia,22,0,0
3507407,Borborema,46,0,0
3507456,Borebi,15,1,15
3507506,Botucatu,1120,24,46.66666667
3507605,Bragança Paulista,1010,23,43.91304348
3507704,Braúna,44,4,11
3507753,Brejo Alegre,9,0,0
3507803,Brodowski,197,4,49.25
3507902,Brotas,37,0,0
3508009,Buri,90,4,22.5
3508108,Buritama,106,5,21.2
3508207,Buritizal,27,0,0
3508306,Cabrália Paulista,48,0,0
3508405,Cabreúva,565,32,17.65625
3508504,Caçapava,501,16,31.3125
3508603,Cachoeira Paulista,94,6,15.66666667
3508702,Caconde,38,0,0
3508801,Cafelândia,130,2,65
3508900,Caiabu,20,2,10
3509007,Caieiras,1047,64,16.359375
3509106,Caiuá,17,0,0
3509205,Cajamar,908,53,17.13207547
3509254,Cajati,571,4,142.75
3509304,Cajobi,51,3,17
3509403,Cajuru,137,3,45.66666667
3509452,Campina do Monte Alegre,65,0,0
3509502,Campinas,15809,640,24.7015625
3509601,Campo Limpo Paulista,542,40,13.55
3509700,Campos do Jordão,265,2,132.5
3509809,Campos Novos Paulista,12,0,0
3509908,Cananéia,78,3,26
3509957,Canas,12,1,12
3510005,Cândido Mota,104,2,52
3510104,Cândido Rodrigues,20,0,0
3510153,Canitar,11,0,0
3510203,Capão Bonito,272,14,19.42857143
3510302,Capela do Alto,152,1,152
3510401,Capivari,372,2,186
3510500,Caraguatatuba,773,48,16.10416667
3510609,Carapicuíba,3735,215,17.37209302
3510708,Cardoso,56,3,18.66666667
3510807,Casa Branca,72,1,72
3510906,Cássia dos Coqueiros,36,0,0
3511003,Castilho,63,1,63
3511102,Catanduva,1016,41,24.7804878
3511201,Catiguá,80,3,26.66666667
3511300,Cedral,63,2,31.5
3511409,Cerqueira César,50,1,50
3511508,Cerquilho,137,7,19.57142857
3511607,Cesário Lange,41,2,20.5
3511706,Charqueada,161,5,32.2
3511904,Clementina,41,0,0
3512001,Colina,97,8,12.125
3512100,Colômbia,30,1,30
3512209,Conchal,111,3,37
3512308,Conchas,123,5,24.6
3512407,Cordeirópolis,708,8,88.5
3512506,Coroados,40,2,20
3512605,Coronel Macedo,1,1,1
3512704,Corumbataí,42,1,42
3512803,Cosmópolis,616,12,51.33333333
3512902,Cosmorama,93,3,31
3513009,Cotia,2159,117,18.45299145
3513108,Cravinhos,156,12,13
3513207,Cristais Paulista,12,0,0
3513405,Cruzeiro,177,8,22.125
3513504,Cubatão,3965,141,28.12056738
3513603,Cunha,26,0,0
3513702,Descalvado,89,3,29.66666667
3513801,Diadema,5079,244,20.81557377
3513850,Dirce Reis,5,0,0
3513900,Divinolândia,31,2,15.5
3514007,Dobrada,22,0,0
3514106,Dois Córregos,37,3,12.33333333
3514205,Dolcinópolis,44,2,22
3514304,Dourado,33,0,0
3514403,Dracena,191,7,27.28571429
3514502,Duartina,63,1,63
3514601,Dumont,141,1,141
3514700,Echaporã,10,1,10
3514809,Eldorado,98,2,49
3514908,Elias Fausto,157,4,39.25
3514924,Elisiário,33,0,0
3514957,Embaúba,24,1,24
3515004,Embu das Artes,1928,117,16.47863248
3515103,Embu-Guaçu,608,18,33.77777778
3515129,Emilianópolis,29,2,14.5
3515152,Engenheiro Coelho,245,9,27.22222222
3515186,Espírito Santo do Pinhal,157,2,78.5
3515194,Espírito Santo do Turvo,18,0,0
3515202,Estrela d'Oeste,204,6,34
3515301,Estrela do Norte,9,0,0
3515350,Euclides da Cunha Paulista,15,2,7.5
3515400,Fartura,33,1,33
3515509,Fernandópolis,946,16,59.125
3515608,Fernando Prestes,39,2,19.5
3515657,Fernão,2,0,0
3515707,Ferraz de Vasconcelos,1449,90,16.1
3515806,Flora Rica,5,0,0
3515905,Floreal,23,1,23
3516002,Flórida Paulista,38,1,38
3516200,Franca,682,24,28.41666667
3516309,Francisco Morato,1578,64,24.65625
3516408,Franco da Rocha,1180,85,13.88235294
3516507,Gabriel Monteiro,13,2,6.5
3516606,Gália,13,0,0
3516705,Garça,64,1,64
3516804,Gastão Vidigal,70,10,7
3516853,Gavião Peixoto,41,0,0
3516903,General Salgado,105,0,0
3517000,Getulina,82,0,0
3517109,Glicério,18,0,0
3517208,Guaiçara,189,2,94.5
3517307,Guaimbê,16,1,16
3517406,Guaíra,316,6,52.66666667
3517505,Guapiaçu,184,13,14.15384615
3517604,Guapiara,56,7,8
3517703,Guará,51,1,51
3517802,Guaraçaí,13,0,0
3517901,Guaraci,13,0,0
3518008,Guarani d'Oeste,27,0,0
3518107,Guarantã,49,0,0
3518206,Guararapes,263,2,131.5
3518305,Guararema,214,14,15.28571429
3518404,Guaratinguetá,251,17,14.76470588
3518503,Guareí,179,1,179
3518602,Guariba,521,17,30.64705882
3518701,Guarujá,4401,183,24.04918033
3518800,Guarulhos,11240,1040,10.80769231
3518859,Guatapará,16,0,0
3518909,Guzolândia,21,1,21
3519006,Herculândia,38,2,19
3519055,Holambra,93,0,0
3519071,Hortolândia,2080,54,38.51851852
3519105,Iacanga,60,0,0
3519204,Iacri,7,0,0
3519253,Iaras,8,1,8
3519303,Ibaté,153,1,153
3519402,Ibirá,135,3,45
3519501,Ibirarema,56,0,0
3519600,Ibitinga,351,13,27
3519709,Ibiúna,224,14,16
3519808,Icém,18,0,0
3519907,Iepê,3,1,3
3520004,Igaraçu do Tietê,133,2,66.5
3520103,Igarapava,154,3,51.33333333
3520202,Igaratá,267,6,44.5
3520301,Iguape,205,3,68.33333333
3520400,Ilhabela,558,7,79.71428571
3520426,Ilha Comprida,65,3,21.66666667
3520442,Ilha Solteira,60,1,60
3520509,Indaiatuba,1115,80,13.9375
3520608,Indiana,54,0,0
3520707,Indiaporã,17,0,0
3520806,Inúbia Paulista,5,0,0
3520905,Ipaussu,113,0,0
3521002,Iperó,103,0,0
3521101,Ipeúna,28,0,0
3521150,Ipiguá,72,3,24
3521200,Iporanga,7,0,0
3521309,Ipuã,203,5,40.6
3521408,Iracemápolis,456,8,57
3521507,Irapuã,38,0,0
3521606,Irapuru,34,1,34
3521705,Itaberá,44,0,0
3521804,Itaí,39,0,0
3521903,Itajobi,165,6,27.5
3522000,Itaju,36,0,0
3522109,Itanhaém,427,37,11.54054054
3522158,Itaoca,15,0,0
3522208,Itapecerica da Serra,1484,111,13.36936937
3522307,Itapetininga,551,29,19
3522406,Itapeva,167,5,33.4
3522505,Itapevi,1905,171,11.14035088
3522604,Itapira,362,15,24.13333333
3522653,Itapirapuã Paulista,32,0,0
3522703,Itápolis,111,3,37
3522802,Itaporanga,55,1,55
3522901,Itapuí,85,2,42.5
3523008,Itapura,27,1,27
3523107,Itaquaquecetuba,2363,187,12.63636364
3523206,Itararé,87,2,43.5
3523305,Itariri,140,4,35
3523404,Itatiba,400,11,36.36363636
3523503,Itatinga,157,3,52.33333333
3523602,Itirapina,75,2,37.5
3523701,Itirapuã,5,1,5
3523800,Itobi,76,0,0
3523909,Itu,1357,48,28.27083333
3524006,Itupeva,838,24,34.91666667
3524105,Ituverava,88,1,88
3524204,Jaborandi,69,1,69
3524303,Jaboticabal,159,14,11.35714286
3524402,Jacareí,1396,53,26.33962264
3524501,Jaci,130,2,65
3524600,Jacupiranga,172,5,34.4
3524709,Jaguariúna,337,11,30.63636364
3524808,Jales,411,5,82.2
3524907,Jambeiro,34,1,34
3525003,Jandira,786,49,16.04081633
3525102,Jardinópolis,219,15,14.6
3525201,Jarinu,222,19,11.68421053
3525300,Jaú,822,24,34.25
3525409,Jeriquara,5,0,0
3525508,Joanópolis,37,0,0
3525607,João Ramalho,21,1,21
3525706,José Bonifácio,380,10,38
3525805,Júlio Mesquita,10,1,10
3525854,Jumirim,9,0,0
3525904,Jundiaí,6297,278,22.65107914
3526001,Junqueirópolis,65,2,32.5
3526100,Juquiá,138,2,69
3526209,Juquitiba,194,6,32.33333333
3526308,Lagoinha,3,0,0
3526407,Laranjal Paulista,189,5,37.8
3526506,Lavínia,17,0,0
3526605,Lavrinhas,14,1,14
3526704,Leme,1043,29,35.96551724
3526803,Lençóis Paulista,1656,32,51.75
3526902,Limeira,1969,103,19.11650485
3527009,Lindóia,26,0,0
3527108,Lins,646,17,38
3527207,Lorena,209,11,19
3527256,Lourdes,2,0,0
3527306,Louveira,453,17,26.64705882
3527405,Lucélia,50,5,10
3527504,Lucianópolis,1,0,0
3527603,Luís Antônio,111,8,13.875
3527702,Luiziânia,65,2,32.5
3527801,Lupércio,15,0,0
3527900,Lutécia,3,0,0
3528007,Macatuba,405,4,101.25
3528106,Macaubal,34,2,17
3528205,Macedônia,30,0,0
3528304,Magda,19,1,19
3528403,Mairinque,289,14,20.64285714
3528502,Mairiporã,472,35,13.48571429
3528601,Manduri,21,0,0
3528700,Marabá Paulista,5,1,5
3528809,Maracaí,92,0,0
3528858,Marapoama,9,0,0
3528908,Mariápolis,8,0,0
3529005,Marília,809,18,44.94444444
3529104,Marinópolis,6,0,0
3529203,Martinópolis,91,4,22.75
3529302,Matão,172,7,24.57142857
3529401,Mauá,3370,204,16.51960784
3529500,Mendonça,109,5,21.8
3529609,Meridiano,17,0,0
3529658,Mesópolis,16,0,0
3529708,Miguelópolis,121,2,60.5
3529807,Mineiros do Tietê,71,2,35.5
3529906,Miracatu,169,11,15.36363636
3530003,Mira Estrela,20,1,20
3530102,Mirandópolis,144,5,28.8
3530201,Mirante do Paranapanema,20,0,0
3530300,Mirassol,397,14,28.35714286
3530409,Mirassolândia,55,1,55
3530508,Mococa,254,7,36.28571429
3530607,Mogi das Cruzes,3314,229,14.47161572
3530706,Mogi Guaçu,1302,41,31.75609756
3530805,Mogi Mirim,427,22,19.40909091
3530904,Mombuca,24,0,0
3531001,Monções,29,1,29
3531100,Mongaguá,233,10,23.3
3531209,Monte Alegre do Sul,14,0,0
3531308,Monte Alto,154,2,77
3531407,Monte Aprazível,262,6,43.66666667
3531506,Monte Azul Paulista,83,2,41.5
3531704,Monteiro Lobato,31,1,31
3531803,Monte Mor,556,12,46.33333333
3531902,Morro Agudo,447,11,40.63636364
3532009,Morungaba,44,2,22
3532058,Motuca,35,0,0
3532108,Murutinga do Sul,11,0,0
3532157,Nantes,3,0,0
3532207,Narandiba,7,1,7
3532306,Natividade da Serra,8,1,8
3532405,Nazaré Paulista,118,2,59
3532504,Neves Paulista,65,0,0
3532603,Nhandeara,62,2,31
3532702,Nipoã,50,0,0
3532801,Nova Aliança,65,1,65
3532827,Nova Campina,1,0,0
3532843,Nova Canaã Paulista,3,0,0
3532868,Nova Castilho,10,2,5
3532900,Nova Europa,94,0,0
3533007,Nova Granada,193,3,64.33333333
3533106,Nova Guataporanga,6,0,0
3533205,Nova Independência,6,0,0
3533254,Novais,31,0,0
3533304,Nova Luzitânia,35,1,35
3533403,Nova Odessa,393,24,16.375
3533502,Novo Horizonte,112,2,56
3533601,Nuporanga,11,0,0
3533700,Ocauçu,2,0,0
3533809,Óleo,2,0,0
3533908,Olímpia,392,6,65.33333333
3534005,Onda Verde,42,1,42
3534104,Oriente,21,0,0
3534203,Orindiúva,84,2,42
3534302,Orlândia,352,11,32
3534401,Osasco,8793,599,14.67946578
3534500,Oscar Bressane,3,0,0
3534609,Osvaldo Cruz,66,2,33
3534708,Ourinhos,671,8,83.875
3534757,Ouroeste,62,1,62
3534807,Ouro Verde,9,0,0
3534906,Pacaembu,49,3,16.33333333
3535002,Palestina,40,2,20
3535101,Palmares Paulista,68,5,13.6
3535200,Palmeira d'Oeste,57,1,57
3535309,Palmital,56,1,56
3535408,Panorama,47,4,11.75
3535507,Paraguaçu Paulista,145,4,36.25
3535606,Paraibuna,50,0,0
3535705,Paraíso,38,1,38
3535804,Paranapanema,53,1,53
3535903,Paranapuã,24,0,0
3536000,Parapuã,26,2,13
3536109,Pardinho,65,1,65
3536208,Pariquera-Açu,362,6,60.33333333
3536257,Parisi,23,0,0
3536307,Patrocínio Paulista,30,0,0
3536406,Paulicéia,12,1,12
3536505,Paulínia,2448,32,76.5
3536570,Paulistânia,6,0,0
3536604,Paulo de Faria,19,1,19
3536703,Pederneiras,312,5,62.4
3536802,Pedra Bela,27,0,0
3536901,Pedranópolis,19,1,19
3537008,Pedregulho,9,0,0
3537107,Pedreira,85,2,42.5
3537156,Pedrinhas Paulista,10,1,10
3537206,Pedro de Toledo,20,1,20
3537305,Penápolis,178,6,29.66666667
3537404,Pereira Barreto,93,7,13.28571429
3537503,Pereiras,23,1,23
3537602,Peruíbe,317,19,16.68421053
3537701,Piacatu,4,0,0
3537800,Piedade,327,15,21.8
3537909,Pilar do Sul,105,2,52.5
3538006,Pindamonhangaba,558,16,34.875
3538105,Pindorama,87,4,21.75
3538204,Pinhalzinho,55,1,55
3538303,Piquerobi,8,0,0
3538501,Piquete,44,1,44
3538600,Piracaia,134,3,44.66666667
3538709,Piracicaba,6027,174,34.63793103
3538808,Piraju,142,4,35.5
3538907,Pirajuí,82,2,41
3539004,Pirangi,151,5,30.2
3539103,Pirapora do Bom Jesus,273,4,68.25
3539202,Pirapozinho,89,5,17.8
3539301,Pirassununga,562,6,93.66666667
3539400,Piratininga,105,4,26.25
3539509,Pitangueiras,234,3,78
3539608,Planalto,88,1,88
3539707,Platina,2,0,0
3539806,Poá,847,66,12.83333333
3539905,Poloni,43,1,43
3540002,Pompéia,27,2,13.5
3540101,Pongaí,12,0,0
3540200,Pontal,827,25,33.08
3540259,Pontalinda,30,3,10
3540309,Pontes Gestal,29,1,29
3540408,Populina,35,1,35
3540507,Porangaba,18,0,0
3540606,Porto Feliz,603,11,54.81818182
3540705,Porto Ferreira,271,11,24.63636364
3540754,Potim,54,0,0
3540804,Potirendaba,265,3,88.33333333
3540853,Pracinha,3,0,0
3540903,Pradópolis,195,9,21.66666667
3541000,Praia Grande,4615,127,36.33858268
3541059,Pratânia,19,0,0
3541109,Presidente Alves,15,0,0
3541208,Presidente Bernardes,85,2,42.5
3541307,Presidente Epitácio,163,4,40.75
3541406,Presidente Prudente,1589,35,45.4
3541505,Presidente Venceslau,193,11,17.54545455
3541604,Promissão,631,5,126.2
3541653,Quadra,5,0,0
3541703,Quatá,47,2,23.5
3541802,Queiroz,20,2,10
3541901,Queluz,85,0,0
3542008,Quintana,8,0,0
3542107,Rafard,92,1,92
3542206,Rancharia,116,3,38.66666667
3542305,Redenção da Serra,9,0,0
3542404,Regente Feijó,38,0,0
3542503,Reginópolis,11,1,11
3542602,Registro,718,13,55.23076923
3542701,Restinga,3,0,0
3542800,Ribeira,16,0,0
3542909,Ribeirão Bonito,38,0,0
3543006,Ribeirão Branco,75,1,75
3543204,Ribeirão do Sul,12,0,0
3543238,Ribeirão dos Índios,12,2,6
3543253,Ribeirão Grande,52,1,52
3543303,Ribeirão Pires,780,46,16.95652174
3543402,Ribeirão Preto,9559,334,28.61976048
3543501,Riversul,11,1,11
3543600,Rifaina,6,1,6
3543709,Rincão,41,2,20.5
3543808,Rinópolis,16,0,0
3543907,Rio Claro,1933,64,30.203125
3544004,Rio das Pedras,287,13,22.07692308
3544103,Rio Grande da Serra,370,15,24.66666667
3544202,Riolândia,87,0,0
3544251,Rosana,36,0,0
3544301,Roseira,33,2,16.5
3544400,Rubiácea,29,0,0
3544509,Rubinéia,39,0,0
3544608,Sabino,13,1,13
3544707,Sagres,3,0,0
3544806,Sales,24,2,12
3544905,Sales Oliveira,113,1,113
3545001,Salesópolis,87,7,12.42857143
